"","month","counterparty_name","region","factory","deal_type","volume","price","market_price","market_price_prev","inflation","inp_1","inp_2"
"82","2019-02-01 00:00:00","195","25","6","4","14.258182","140.94577578376","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"83","2019-02-01 00:00:00","196","24","8","3","23.7562638","155.24778242694","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"84","2019-02-01 00:00:00","202","39","3","3","7.922477","168.34","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"85","2019-02-01 00:00:00","203","30","1","5","4.751012","155.08","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"86","2019-02-01 00:00:00","212","21","1","3","2.023166","140.8","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"87","2019-02-01 00:00:00","268","21","1","3","3.851009","144.57726518427","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"88","2019-02-01 00:00:00","280","17","6","4","4.4378057","153.55000114288","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"89","2019-02-01 00:00:00","286","22","1","4","252.50725","145.05626427974","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"90","2019-02-01 00:00:00","287","12","4","4","26.734954","153.55","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"91","2019-02-01 00:00:00","304","33","6","3","3.9261935","149.47000129256","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"92","2019-02-01 00:00:00","308","42","6","3","209.741634","145.59034399339","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"93","2019-02-01 00:00:00","316","39","3","4","237.360743","168.64631783841","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"94","2019-02-01 00:00:00","318","15","8","3","26.407573","150.13193920769","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"95","2019-02-01 00:00:00","326","28","3","3","9.881885","169.87","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"96","2019-02-01 00:00:00","336","38","5","3","6.55678","146.64705022892","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"97","2019-02-01 00:00:00","343","33","6","3","21.2837032","145.8894117158","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"98","2019-02-01 00:00:00","351","2","1","3","17.850001","142.37871659727","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"99","2019-02-01 00:00:00","375","6","3","3","1.98654","169.09648536652","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"100","2019-02-01 00:00:00","376","38","5","3","1.502525","154.57","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"101","2019-02-01 00:00:00","379","30","1","3","12.015731","155.08","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
