,symbol,year,EV,Market Cap,FCF,EBITDA,CapitalExpenditure,EnterprisesValueEBITDARatio,DilutedEPS,TotalRevenue,TotalAssets,TotalDebt,NetIncome,OperatingExpense,GrossProfit,deal
483,AQMS,2023,59638709.0,81936709.0,-13076000.0,-22046000.0,-9883000.0,-2.705194,-5.0,25000.0,33600000.0,3233000.0,-23938000.0,13379000.0,-6257000.0,0
484,AQN,2020,13654475126.0,9810635126.0,-280813000.0,1288468000.0,-786030000.0,15.0548,1.37,1676991000.0,13224149000.0,4538470000.0,782463000.0,918432000.0,1275983000.0,0
485,AQN,2021,16492140342.0,9628629342.0,-1187579000.0,772862000.0,-1345045000.0,14.7275,0.41,2274142000.0,16797503000.0,6211375000.0,264859000.0,1171817000.0,1560227000.0,1
486,AQN,2022,12221795186.0,4446905186.0,-469928000.0,379600000.0,-1089024000.0,20.5547,-0.33,2765013000.0,17627613000.0,7512017000.0,-211989000.0,1387241000.0,1898659000.0,1
487,AQN,2023,12810371304.0,4353748304.0,-398137000.0,718929000.0,-1026171000.0,31.5495,0.03,2698015000.0,18373961000.0,8516030000.0,28674000.0,1464340000.0,1962070000.0,0
488,AQST,2020,228608908.0,179865908.0,-45976000.0,-39318000.0,-517000.0,-5.814357,-1.66,45849000.0,62884000.0,40478000.0,-55783000.0,75778000.0,32885000.0,0
489,AQST,2021,168517068.0,156238068.0,-33892000.0,-45114000.0,-913000.0,-3.735361,-1.85,50832000.0,61993000.0,56421000.0,-70539000.0,70522000.0,35843000.0,0
490,AQST,2022,85291140.0,48854140.0,-12343000.0,-39580000.0,-2524000.0,-2.154905,-1.12,47680000.0,57070000.0,57488000.0,-54410000.0,70360000.0,28294000.0,0
491,AQST,2023,154989911.0,134869911.0,-7375000.0,1182000.0,-995000.0,131.125136,-0.13,50583000.0,57418000.0,33319000.0,-7870000.0,44854000.0,29752000.0,0
492,AR,2020,6925950400.0,1464262400.0,687548000.0,-592730000.0,-48092000.0,-11.684832,-4.65,3083905000.0,13150845000.0,5616402000.0,-1267897000.0,280514000.0,-514443000.0,0
493,AR,2021,10391344000.0,5493775000.0,1545355000.0,699511000.0,-114761000.0,14.855155,-0.61,5791784000.0,13896528000.0,5545906000.0,-186899000.0,202933000.0,2255898000.0,0
